               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.022316,            0.008818,            0.036625,             0.52888,             0.71133,             0.62561,             0.49759,             0.01801,           0.0024489,            0.024954,           0.0086388,           0.0086388,           0.0086388
                  57,            0.023305,           0.0091282,            0.037651,             0.47029,             0.69229,             0.60216,             0.47326,            0.019017,            0.002544,            0.026117,            0.008614,            0.008614,            0.008614
                  58,            0.023026,           0.0092079,             0.03794,               0.518,             0.63329,             0.60009,             0.48278,            0.017153,           0.0024395,            0.026328,           0.0085893,           0.0085893,           0.0085893
                  59,            0.022945,           0.0088903,            0.035611,             0.50281,             0.75404,             0.61108,             0.48728,            0.017537,           0.0025009,            0.030338,           0.0085645,           0.0085645,           0.0085645
                  60,            0.022999,           0.0086524,            0.036582,             0.49514,              0.7494,             0.60839,             0.48868,            0.017964,           0.0023908,            0.025893,           0.0085398,           0.0085398,           0.0085398
                  61,            0.023233,           0.0086844,            0.035072,             0.45634,             0.76749,             0.59309,              0.4691,            0.018749,           0.0025137,            0.025979,            0.008515,            0.008515,            0.008515
                  62,             0.02313,           0.0089069,            0.036641,             0.52409,             0.69973,              0.6137,             0.49116,            0.018709,           0.0024612,            0.031712,           0.0084903,           0.0084903,           0.0084903
                  63,            0.022394,           0.0087473,            0.034596,             0.53325,             0.65162,             0.61136,             0.48782,             0.01822,           0.0024274,            0.027805,           0.0084655,           0.0084655,           0.0084655
                  64,              0.0223,           0.0087462,            0.035735,             0.53921,             0.71811,              0.6438,             0.52154,            0.019009,           0.0024824,            0.025907,           0.0084408,           0.0084408,           0.0084408
                  65,            0.022629,           0.0091814,            0.037983,              0.5365,             0.71364,              0.6457,             0.52193,            0.018859,           0.0025206,            0.024099,            0.008416,            0.008416,            0.008416
                  66,            0.022486,           0.0088069,            0.037554,              0.5276,             0.69708,             0.61076,             0.48932,            0.017477,           0.0024043,            0.028235,           0.0083913,           0.0083913,           0.0083913
                  67,            0.022191,           0.0088774,             0.03558,             0.54913,             0.71734,              0.6502,             0.52492,            0.017835,           0.0024276,            0.023079,           0.0083665,           0.0083665,           0.0083665
